2016-06-24 06:33:22 install libpng12-0:amd64 <none> 1.2.50-1ubuntu2
2016-06-24 06:33:22 status half-installed libpng12-0:amd64 1.2.50-1ubuntu2
2016-06-24 06:33:22 status unpacked libpng12-0:amd64 1.2.50-1ubuntu2
2016-06-24 06:33:22 status unpacked libpng12-0:amd64 1.2.50-1ubuntu2
2016-06-24 06:33:22 install libprocps3:amd64 <none> 1:3.3.9-1ubuntu2
2016-06-24 06:33:22 status half-installed libprocps3:amd64 1:3.3.9-1ubuntu2
2016-06-24 06:33:22 status unpacked libprocps3:amd64 1:3.3.9-1ubuntu2
2016-06-24 06:33:22 status unpacked libprocps3:amd64 1:3.3.9-1ubuntu2
2016-06-24 06:33:22 install libselinux1:amd64 <none> 2.2.2-1
2016-06-24 06:33:22 status half-installed libselinux1:amd64 2.2.2-1
2016-06-24 06:33:22 status unpacked libselinux1:amd64 2.2.2-1
2016-06-24 06:33:22 status unpacked libselinux1:amd64 2.2.2-1
2016-06-24 06:33:22 install libsemanage-common:all <none> 2.2-1
2016-06-24 06:33:22 status half-installed libsemanage-common:all 2.2-1
2016-06-24 06:33:22 status unpacked libsemanage-common:all 2.2-1
2016-06-24 06:33:22 status unpacked libsemanage-common:all 2.2-1
2016-06-24 06:33:22 install libsemanage1:amd64 <none> 2.2-1
2016-06-24 06:33:22 status half-installed libsemanage1:amd64 2.2-1
2016-06-24 06:33:22 status unpacked libsemanage1:amd64 2.2-1
2016-06-24 06:33:22 status unpacked libsemanage1:amd64 2.2-1
2016-06-24 06:33:22 install libsepol1:amd64 <none> 2.2-1
2016-06-24 06:33:22 status half-installed libsepol1:amd64 2.2-1
2016-06-24 06:33:22 status unpacked libsepol1:amd64 2.2-1
2016-06-24 06:33:22 status unpacked libsepol1:amd64 2.2-1
2016-06-24 06:33:22 install libslang2:amd64 <none> 2.2.4-15ubuntu1
2016-06-24 06:33:22 status half-installed libslang2:amd64 2.2.4-15ubuntu1
2016-06-24 06:33:22 status unpacked libslang2:amd64 2.2.4-15ubuntu1
2016-06-24 06:33:22 status unpacked libslang2:amd64 2.2.4-15ubuntu1
2016-06-24 06:33:22 install libss2:amd64 <none> 1.42.9-3ubuntu1
